iter	Passed	Remaining
0	180	89836
1	202	50397
2	214	35554
3	219	27249
4	249	24664
5	265	21827
6	279	19671
7	293	18026
8	302	16528
9	312	15332
10	326	14509
11	329	13417
12	331	12408
13	332	11537
14	341	11051
15	352	10654
16	375	10656
17	395	10582
18	409	10366
19	414	9955220	429	9797
21	444	9661
22	459	9528
23	469	9318
24	485	9228
25	494	9017
26	502	8807
27	512	8643
28	523	8494
29	534	8366
30	543	8220
31	553	8093
32	558	7904
33	568	7791
34	576	7660
35	584	7537
36	595	7451
37	608	7396
38	624	7379
39	632	7268
40	640	7166
41	648	7070
42	656	6977
43	665	6895
44	668	6758
45	676	6680
46	691	6666
47	700	6595
48	708	6521
49	716	6452
50	724	6381
51	733	6315
52	741	6254
53	749	6189
54	753	6099
55	761	6036
56	768	5975
57	776	5917
58	784	5862
59	792	5808
60	802	5773
61	811	5733
62	825	5727
63	841	5733
64	851	5701
65	858	5647
66	866	5603
67	874	5555
68	882	5513
69	890	5469
70	899	5437
71	908	5401
72	916	5361
73	920	5301
74	928	5260
75	935	5221
76	943	5185
77	951	5148
78	959	5115
79	967	5079
80	969	5012
81	976	4978
82	984	4946
83	992	4913
84	1000	4888585	1007	4886	86	1015	4887	87	1023	4788	1024	4730
89	1032	4704
90	1040	4677
91	1048	4650
92	1056	4623
93	1063	4594
94	1071	4567
95	95	1097	4619
96	1105	4591
97	1126	4619
98	1132	4587
99	1139	4556
100	1145	4526
101	1152	4496
102	1159	4470
103	1167	4446
104	1175	4422
105	1183	4397
106	1190	4373
107	1198	4348
108	1206	4326
109	1213	4303
110	1218	42111111	1225	42112112	1233	42113113	1240	42114114	1242	41115115	1250	41116	1249	4089
117	1257	4070
118	1265	4050
119	1273	4031
120	1280	4012
121	1288	3993
122	1297	3975
123	1304	3955
124	1310	3932
125	1317	3911
126	1324	3889
127	1333	3875
128	1341	3856
129	1348	3837
130	1355	3817
131	1361	3796
132	1369	3779
133	1376	3760
134	1384	3742
135	1391	3725
136	1399	3708
137	1407	3691
138	1414	3674
139	1422	3657
140	1429	3640
141	1437	3624
142	1445	3607
143	1451	3589
144	1458	3571
145	1465	3552
146	1471	3534
147	1479	3517
148	1487	3503
149	1495	3488
150	1503	3474
151	1511	3460
152	1520	3448
153	1531	3441
154	1544	3438
155	1555	3429
156	1568	3425
157	1591	3444
158	1615	3465
159	1633	3471
160	1649	3472
161	1658	3460
162	1670	3452
163	1679	3440
164	1690	3431
165	1698	3416
166	1709	3408
167	1716	3392
168	1725	3378
169	1732	3363
170	1743	3353
171	1751	3340
172	1763	3332
173	1771	3318
174	1782	3311
175	1792	3299
176	1803	3291
177	1816	3285
178	1824	3271
179	1832	3257
180	1840	3243
181	1848	3229
182	1859	3221
183	1868	3209
184	1879	3200
185	1892	3194
186	1900	3181
187	1908	3167
188	1918	3157
189	1926	3143
190	1936	3132
191	1944	3118
192	1952	3105
193	1962	3095
194	1971	3083
195	1981	3073
196	1992	3064
197	2005	3058
198	2017	3050
199	2025	3038
200	2033	3025
201	2041	3012
202	2051	3000
203	2061	2991
204	2071	2981
205	2080	2969
206	2089	2957
207	2097	2944
208	2102	2926
209	2109	2913
210	2117	2900
211	2126	2889
212	2136	2878
213	2146	2868
214	2156	2858
215	2167	2849
216	2179	2842
217	2190	2833
218	2201	2824
219	2210	2813
220	2219	2802
221	2230	2792
222	2238	2780
223	2246	2768
224	2254	2755
225	2262	2743
226	2271	2731
227	2279	2719
228	2288	2707
229	2296	2695
230	2304	2683
231	2312	2671
232	2320	2658
233	2328	2647
234	2336	2635
235	2344	2622
236	2352	2610
237	2360	2598
238	2369	2587
239	2377	2575
240	2385	2563
241	2393	2552
242	2401	2540
243	2410	2528
244	2418	2517
245	2426	2505
246	2434	2493
247	2442	2481
248	2450	2470
249	2459	2459
250	2467	2447
251	2475	2436
252	2483	2424
253	2491	2412
254	2499	2401
255	2507	2390
256	2515	2378
257	2523	2366
258	2531	2356
259	2540	2344
260	2548	2333
261	2556	2322
262	2564	2311
263	2572	2299
264	2580	2287
265	2588	2276
266	2596	2265
267	2605	2255
268	2613	2244
269	2621	2233
270	2629	2222
271	2638	2211
272	2646	2200
273	2655	2189
274	2663	2178
275	2671	2168
276	2679	2157
277	2687	2146
278	2696	2135
279	2704	2125
280	2712	2114
281	2721	2103
282	2729	2092
283	2737	2082
284	2746	2071
285	2754	2060
286	2762	2050
287	2770	2039
288	2778	2028
289	2786	2017
290	2794	2006
291	2802	1996
292	2810	1985
293	2818	1974
294	2826	1964
295	2834	1953
296	2841	1942
297	2849	1931
298	2858	1921
299	2866	1911
300	2875	1900
301	2883	1890
302	2891	1879
303	2899	1869
304	2907	1859
305	2915	1848
306	2923	1837
307	2931	1827
308	2939	1817
309	2948	1807
310	2956	1796
311	2964	1786
312	2972	1775
313	2980	1765
314	2988	1754
315	2995	1744
316	3003	1734
317	3011	1723
318	3019	1713
319	3027	1703
320	3036	1693
321	3049	1685
322	3059	1676
323	3067	1666
324	3075	1656
325	3084	1646
326	3092	1636
327	3101	1626
328	3109	1616
329	3118	1606
330	3126	1596
331	3137	1587
332	3145	1577
333	3153	1567
334	3161	1557
335	3169	1546
336	3176	1536
337	3184	1526
338	3192	1516
339	3200	1506
340	3209	1496
341	3217	1486
342	3226	1476
343	3233	1466
344	3241	1456
345	3249	1446
346	3258	1436
347	3267	1426
348	3274	1416
349	3283	1407
350	3291	1397
351	3299	1387
352	3307	1377
353	3317	1368
354	3326	1358
355	3333	1348
356	3341	1338
357	3350	1328
358	3358	1318
359	3366	1309
360	3374	1299
361	3383	1289
362	3391	1279
363	3399	1270
364	3407	1260
365	3416	1250
366	3424	1241
367	3432	1231
368	3440	1221
369	3448	1211
370	3457	1202
371	3467	1193
372	3475	1183
373	3483	1173
374	3491	1163
375	3499	1153
376	3508	1144
377	3517	1135
378	3526	1125
379	3535	1116
380	3543	1106
381	3552	1097
382	3561	1087
383	3569	1078
384	3578	1068
385	3587	1059
386	3596	1050
387	3604	1040
388	3614	1031
389	3623	1021
390	3632	1012
391	3640	1002
392	3649	993
393	3657	983
394	3665	974
395	3673	964
396	3680	955
397	3689	945
398	3696	935
399	3705	926
400	3714	916
401	3721	907
402	3730	897
403	3738	888
404	3746	878
405	3755	869
406	3764	860
407	3772	850
408	3779	841
409	3787	831
410	3796	822
411	3804	812
412	3812	803
413	3820	793
414	3828	784
415	3836	774
416	3844	765
417	3853	755
418	3861	746
419	3869	737
420	3878	727
421	3886	718
422	3894	709
423	3903	699
424	3911	690
425	3919	680
426	3928	671
427	3936	662
428	3944	652
429	3953	643
430	3961	634
431	3969	624
432	3977	615
433	3984	606
434	3992	596
435	4000	587
436	4009	577
437	4020	569
438	4030	560
439	4041	551
440	4052	542
441	4062	533
442	4071	523
443	4079	514
444	4087	505
445	4095	495
446	4103	486
447	4112	477
448	4120	468
449	4129	458
450	4138	449
451	4145	440
452	4154	430
453	4162	421
454	4170	412
455	4178	403
456	4186	393
457	4194	384
458	4197	374
459	4204	365
460	4213	356
461	4221	347
462	4229	337
463	4237	328
464	4245	319
465	4253	310
466	4260	301
467	4268	291
468	4276	282
469	4284	273
470	4291	264
471	4299	255
472	4307	245
473	4315	236
474	4323	227
475	4332	218
476	4339	209
477	4347	200
478	4355	190
479	4362	181
480	4370	172
481	4378	163
482	4386	154
483	4394	145
484	4402	136
485	4410	127
486	4418	117
487	4426	108
488	4435	99
489	4443	90
490	4451	81
491	4455	72
492	4462	63
493	4470	54
494	4477	45
495	4485	36
496	4492	27
497	4499	18
498	4507	9
499	4514	0
